model,loss_fn,train_dir,val_dir,epochs,es_patience,label_smoothing,grad_clip_norm,scheduler_factor,scheduler_patience,num_workers,input_size,batch_size,lr,weight_decay,hidden_sizes,dropout,HFlip,VFlip,RBContrast,count_params,num_classes,train_samples,val_samples,best_epoch,best_train_loss,best_train_accuracy,best_train_macro_f1,best_val_loss,best_val_accuracy,best_val_macro_f1,best_val_balanced_accuracy,trial_id
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0003,0.001,"(1024, 512)",0.5,0.5,0.0,0.5,28845065,9,679,165,18,1.259943355213512,0.5817378497790869,0.5819421895796881,1.4037192662556965,0.593939393939394,0.5994626527510069,0.6022366522366522,56
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.0001,"(1024, 512, 256)",0.2,0.5,0.5,0.3,13245961,9,679,165,32,0.9957186037843878,0.6936671575846833,0.6955591679271352,1.3286573092142742,0.593939393939394,0.5987465383247391,0.6022366522366522,17
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.001,"(1024, 512, 256)",0.35,0.5,0.5,0.5,13245961,9,679,165,32,1.1386222460053184,0.6111929307805597,0.6074989310286223,1.3371000289916992,0.5878787878787879,0.5984518828963273,0.5990620490620491,55
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,1e-05,"(512, 256)",0.5,0.5,0.5,0.3,6427145,9,679,165,51,1.1716301983053035,0.5832106038291606,0.5846598379461492,1.3416800896326702,0.593939393939394,0.5980007238169283,0.6022366522366522,0
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,1e-05,"(1024, 512, 256)",0.2,0.5,0.0,0.3,28974601,9,679,165,20,1.0183514925566586,0.6745213549337261,0.6780497842169402,1.2383022507031758,0.6,0.5974967914406446,0.6101731601731601,45
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,0.0001,1e-05,"(1024, 512, 256)",0.2,0.5,0.0,0.3,13245961,9,679,165,26,0.8910232782363892,0.7098674521354934,0.7087373078575081,1.2322917977968852,0.5878787878787879,0.5965820140856009,0.5990620490620491,20
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,0.0001,0.001,"(512, 256)",0.35,0.5,0.5,0.5,6427145,9,679,165,32,1.0929976918480613,0.6391752577319587,0.6359072705343688,1.2478162050247192,0.5818181818181818,0.5950163095090631,0.5956709956709956,31
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,3e-05,0.0001,"(1024, 512, 256)",0.2,0.5,0.5,0.5,28974601,9,679,165,31,1.0625367652286182,0.6494845360824743,0.6483849481437994,1.3082528511683147,0.5757575757575758,0.5946475385499777,0.5924963924963925,24
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.001,"(512, 256)",0.35,0.5,0.0,0.5,6427145,9,679,165,22,1.0855910127813166,0.6435935198821797,0.6394101589115483,1.3670086065928142,0.5818181818181818,0.5946327835718332,0.5911255411255412,48
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,0.0001,"(512, 256)",0.35,0.5,0.5,0.3,14291465,9,679,165,29,1.1614628461274235,0.6156111929307806,0.6179549205613504,1.2456830342610676,0.5878787878787879,0.5945251022836203,0.6012265512265512,3
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,3e-05,0.0001,"(1024, 512)",0.35,0.5,0.0,0.3,28845065,9,679,165,24,1.058076349171725,0.6745213549337261,0.6767384061250261,1.3346785306930542,0.593939393939394,0.5938003568888756,0.5998556998556999,35
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.001,"(1024, 512)",0.5,0.5,0.5,0.5,13116425,9,679,165,34,1.1625920750878074,0.6111929307805597,0.6101849519273164,1.3200333913167317,0.5878787878787879,0.5937328181794632,0.6012265512265512,37
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,0.0001,"(1024, 512, 256)",0.2,0.5,0.5,0.3,28974601,9,679,165,32,0.9551471769809723,0.7157584683357879,0.7194582040712283,1.2077078819274902,0.5696969696969697,0.5925769507791778,0.5823953823953825,39
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,1e-05,"(1024, 512, 256)",0.2,0.5,0.0,0.3,28974601,9,679,165,27,0.8921380341053009,0.7290132547864506,0.7373607289048337,1.257295588652293,0.5878787878787879,0.5892760858962949,0.5897546897546897,2
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0001,1e-05,"(512, 256)",0.5,0.5,0.0,0.5,14291465,9,679,165,41,1.1737873662601819,0.6362297496318114,0.6369516515435261,1.3866758346557617,0.5818181818181818,0.5892463709130376,0.5932900432900433,42
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.001,"(1024, 512, 256)",0.2,0.5,0.5,0.5,13245961,9,679,165,24,1.0244693972847678,0.6656848306332842,0.6692712914899522,1.3338186343510945,0.5878787878787879,0.5891647369233577,0.5990620490620491,7
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,0.0001,"(1024, 512, 256)",0.2,0.5,0.0,0.5,28974601,9,679,165,26,0.8040085678750818,0.7746686303387335,0.7774712744560588,1.2514236221710842,0.5818181818181818,0.5887188120971203,0.5911255411255412,41
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,1e-05,"(512, 256)",0.35,0.5,0.0,0.5,14291465,9,679,165,30,0.9587551761757244,0.711340206185567,0.7156513555090457,1.229760855436325,0.5818181818181818,0.5886342530238856,0.5932900432900433,40
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0003,0.0001,"(1024, 512, 256)",0.5,0.5,0.5,0.5,13245961,9,679,165,44,1.2819401025772095,0.5449189985272459,0.5454701224243537,1.310169259707133,0.5818181818181818,0.5883938673412357,0.5935064935064935,38
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0003,1e-05,"(1024, 512)",0.5,0.5,0.0,0.3,28845065,9,679,165,25,1.1462310498411006,0.6038291605301914,0.6092368627286668,1.3045212030410767,0.5818181818181818,0.5881228234291513,0.5935064935064935,25
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,1e-05,"(512, 256)",0.35,0.5,0.5,0.5,14291465,9,679,165,23,1.186401741071181,0.572901325478645,0.5681815882491228,1.2881313661734264,0.593939393939394,0.5880089269395348,0.6002886002886003,23
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,0.0001,"(1024, 512, 256)",0.2,0.5,0.0,0.3,28974601,9,679,165,30,0.765455424785614,0.7982326951399117,0.8011092551498691,1.2770887712637584,0.5818181818181818,0.5839044593713524,0.5841991341991342,44
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0003,0.001,"(1024, 512, 256)",0.35,0.5,0.0,0.3,28974601,9,679,165,20,1.121595331213691,0.6156111929307806,0.6102652177072956,1.2490036090215046,0.5818181818181818,0.5836952285147667,0.5935064935064935,49
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,0.001,"(1024, 512)",0.5,0.5,0.5,0.5,28845065,9,679,165,23,1.3664579960432919,0.49337260677466865,0.48728849089511694,1.3202417890230815,0.5757575757575758,0.5811817893118705,0.581024531024531,28
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,0.0001,"(1024, 512)",0.5,0.5,0.5,0.3,28845065,9,679,165,39,1.2759183049201965,0.5714285714285714,0.5679709738390217,1.3149627645810444,0.5757575757575758,0.5801921651169771,0.5877344877344878,57
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0003,0.001,"(512, 256)",0.35,0.5,0.5,0.5,14291465,9,679,165,29,1.1294267773628235,0.6332842415316642,0.6342134929527063,1.3097819487253826,0.5757575757575758,0.5786905400248298,0.5834054834054834,18
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,0.001,"(1024, 512, 256)",0.5,0.5,0.0,0.3,28974601,9,679,165,40,1.3071514855731616,0.5360824742268041,0.541830335773235,1.3151973287264507,0.5757575757575758,0.578644892542638,0.587950937950938,21
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,0.0003,0.0001,"(1024, 512, 256)",0.35,0.5,0.5,0.3,13245961,9,679,165,28,1.1393160765821284,0.6200294550810015,0.6190019304901593,1.2174237370491028,0.5696969696969697,0.5783628963257249,0.5800144300144301,5
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,1e-05,"(1024, 512)",0.2,0.5,0.5,0.5,28845065,9,679,165,20,0.9969387379559603,0.6642120765832106,0.6715018941391467,1.2862412730852764,0.5696969696969697,0.5737974605418932,0.5776334776334777,43
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,0.0001,"(512, 256)",0.2,0.5,0.0,0.5,14291465,9,679,165,17,0.9854917553338137,0.6892488954344624,0.6887356164259686,1.2452613910039265,0.5575757575757576,0.5701883440451841,0.5641414141414142,16
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,1e-05,"(1024, 512, 256)",0.5,0.5,0.0,0.3,28974601,9,679,165,62,1.3872706348245794,0.5331369661266568,0.5329898414775466,1.357522984345754,0.5636363636363636,0.5565043484780328,0.5744588744588746,22
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,3e-05,1e-05,"(512, 256)",0.5,0.5,0.5,0.3,14291465,9,679,165,26,1.425429035316814,0.5022091310751104,0.5020285211991081,1.3053882916768391,0.5515151515151515,0.5472168485989625,0.5564213564213565,30
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,3e-05,0.001,"(512, 256)",0.35,0.5,0.5,0.3,14291465,9,679,165,10,1.402795293114402,0.49779086892488955,0.48720420687024446,1.3647850354512532,0.5454545454545454,0.5447662645867148,0.5463203463203463,14
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0001,0.001,"(1024, 512, 256)",0.35,0.5,0.5,0.3,28974601,9,679,165,14,1.3933562257073142,0.5007363770250368,0.496222012566743,1.3293582300345104,0.5515151515151515,0.5411903183061575,0.5518759018759019,10
