model,loss_fn,train_dir,val_dir,epochs,es_patience,label_smoothing,grad_clip_norm,scheduler_factor,scheduler_patience,num_workers,input_size,batch_size,lr,weight_decay,hidden_sizes,dropout,HFlip,VFlip,RBContrast,best_epoch,best_train_aug_loss,best_train_aug_accuracy,best_train_aug_macro_f1,best_val_loss,best_val_accuracy,best_val_macro_f1,best_val_balanced_accuracy,final_train_eval_loss,final_train_eval_accuracy,final_train_eval_macro_f1,final_train_eval_balanced_accuracy,final_val_loss,final_val_accuracy,final_val_macro_f1,final_val_balanced_accuracy,generalization_gap_macro_f1,generalization_gap_accuracy,seed,run_label,stage
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,64,64,0.0001,0.001,"(1536, 768)",0.55,0.5,0.5,0.3,47,0.9432966600764882,0.625920471281296,0.6287037713476077,1.2520018815994263,0.6,0.607784332624075,0.6101731601731601,0.7242240404540842,0.7157584683357879,0.718460556242868,0.7180636070853461,1.2520018815994263,0.6,0.607784332624075,0.6101731601731601,0.11067622361879292,0.11575846833578796,2044,local_018_seed_2044,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,80,32,0.0001,0.001,"(1024, 512, 256)",0.35,0.5,0.5,0.5,47,0.9387277689847079,0.6244477172312224,0.6219693614727168,1.1110681394735973,0.593939393939394,0.6072460361673622,0.6046176046176046,0.7019103399731896,0.7216494845360825,0.7286365134930363,0.7262882447665056,1.1110681394735973,0.593939393939394,0.6072460361673622,0.6046176046176046,0.1213904773256741,0.12771009059668847,2028,local_002_seed_2028,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,64,32,0.0002,0.002,"(1024, 512)",0.35,0.5,0.5,0.3,45,1.0965564548969269,0.7054491899852725,0.7064155347660106,1.3483753502368927,0.6,0.6052060680830811,0.6125541125541125,0.9945837340571664,0.780559646539028,0.7785092296364524,0.788562801932367,1.3483753502368927,0.6,0.6052060680830811,0.6125541125541125,0.17330316155337133,0.180559646539028,2047,local_021_seed_2047,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,0.0001,0.001,"(768, 384)",0.45,0.5,0.5,0.5,60,1.0419930951161818,0.6656848306332842,0.6667588488719379,1.2265307307243347,0.5878787878787879,0.6038337966909395,0.605988455988456,0.888641132549806,0.7511045655375552,0.7529640635943423,0.7576207729468599,1.2265307307243347,0.5878787878787879,0.6038337966909395,0.605988455988456,0.1491302669034028,0.16322577765876733,2056,local_030_seed_2056,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,35,1.0186379118399187,0.6686303387334315,0.6691830711930152,1.3445875247319539,0.593939393939394,0.6034481567814901,0.6022366522366522,0.8565384528853677,0.7731958762886598,0.774978649053897,0.7776731078904993,1.3445875247319539,0.593939393939394,0.6034481567814901,0.6022366522366522,0.1715304922724069,0.17925648234926583,42,repeat_trial53_seed_42,repeat_trial53
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,80,32,0.0002,0.002,"(768, 384)",0.45,0.5,0.5,0.3,32,1.1407299421050332,0.6082474226804123,0.6098906237611025,1.2390811045964558,0.593939393939394,0.6019809188593217,0.6046176046176046,0.9692633585496382,0.7054491899852725,0.7101329394758454,0.7141747181964573,1.2390811045964558,0.593939393939394,0.6019809188593217,0.6046176046176046,0.10815202061652374,0.11150979604587852,2036,local_010_seed_2036,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,32,1.0460276170210405,0.6804123711340206,0.6797395440321065,1.3417218923568726,0.593939393939394,0.6015856104658173,0.6067821067821068,0.8853395039385016,0.7363770250368189,0.7404151594850024,0.7421175523349436,1.3417218923568726,0.593939393939394,0.6015856104658173,0.6067821067821068,0.1388295490191851,0.1424376310974249,123,repeat_trial53_seed_123,repeat_trial53
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,80,64,0.0001,0.002,"(1536, 768)",0.25,0.5,0.5,0.5,32,1.1531642892143943,0.7039764359351989,0.7064738534239573,1.4814811150232952,0.6060606060606061,0.6003082283570088,0.6157287157287157,1.067538478157737,0.7260677466863034,0.7232286381224359,0.7336714975845411,1.4814811150232952,0.6060606060606061,0.6003082283570088,0.6157287157287157,0.12292040976542706,0.12000714062569728,2068,local_042_seed_2068,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,64,32,5e-05,0.0005,"(768, 384)",0.35,0.5,0.5,0.3,31,0.9916792241009799,0.6377025036818851,0.6415295335004445,1.1984130541483562,0.5818181818181818,0.5993215696892676,0.5935064935064935,0.8027236813848669,0.7407952871870398,0.7438412337141118,0.7462842190016103,1.1984130541483562,0.5818181818181818,0.5993215696892676,0.5935064935064935,0.14451966402484417,0.158977105368858,2037,local_011_seed_2037,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,80,64,0.0002,0.001,"(1536, 768)",0.55,0.5,0.5,0.5,30,1.3852266398343174,0.5625920471281296,0.556726864525799,1.46291979153951,0.5878787878787879,0.5992641275911623,0.5990620490620491,1.2073972116817127,0.6907216494845361,0.6965886341455615,0.696561996779388,1.46291979153951,0.5878787878787879,0.5992641275911623,0.5990620490620491,0.09732450655439917,0.10284286160574818,2045,local_019_seed_2045,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,48,0.9656785509803079,0.727540500736377,0.7311985129147975,1.3180745840072632,0.5878787878787879,0.5991438942754981,0.5966810966810967,0.7995003028349443,0.7908689248895434,0.7955638245474801,0.7989492753623187,1.3180745840072632,0.5878787878787879,0.5991438942754981,0.5966810966810967,0.196419930271982,0.20299013701075552,1,repeat_trial53_seed_1,repeat_trial53
